Errors for Brill Tagger 'rules.yaml'

             left context |    word/test->gold     | right context
 two/CD governors/NNS ,/, |     Nobel/NN->NNP      | Prize/NNP winning/JJ phys
vernors/NNS ,/, Nobel/NNP |     Prize/NN->NNP      | winning/JJ physicist/NN C
S ,/, Nobel/NNP Prize/NNP |     winning/NN->JJ     | physicist/NN Charles/NNP 
 physicist/NN Charles/NNP |     Townes/NN->NNP     | and/CC actress/NN Joanne/
nes/NNP and/CC actress/NN |     Joanne/NN->NNP     | Woodward/NNP ./.
/CC actress/NN Joanne/NNP |    Woodward/NN->NNP    | ./.
/NN ,/, its/PRP$ glory/NN |   *PPA*-1/NN->-NONE-   | had/VBD faded/VBN like/IN
NN *PPA*-1/-NONE- had/VBD |     faded/NN->VBN      | like/IN the/DT yellow/JJ 
 faded/VBN like/IN the/DT |     yellow/NN->JJ      | bricks/NNS of/IN its/PRP$
 like/IN the/DT yellow/JJ |     bricks/NN->NNS     | of/IN its/PRP$ broad/JJ f
bricks/NNS of/IN its/PRP$ |      broad/NN->JJ      | facade/NN ./.
 of/IN violence/NN and/CC |     gangs/NN->NNS      | and/CC kids/NNS cutting/V
N and/CC gangs/NNS and/CC |      kids/NN->NNS      | cutting/VBG class/NN ,/, 
/'' says/VBZ *T*-1/-NONE- |     Linda/NN->NNP      | Ward/NNP ,/, the/DT schoo
BZ *T*-1/-NONE- Linda/NNP |      Ward/NN->NNP      | ,/, the/DT school/NN 's/P
   ``/`` Crime/NN was/VBD |      awful/NN->JJ      | ,/, test/NN scores/NNS we
/VBD awful/JJ ,/, test/NN |     scores/NN->NNS     | were/VBD low/JJ ,/, and/C
no/DT enrollment/NN in/IN |     honors/NN->NNS     | programs/NNS ./. ''/''
lment/NN in/IN honors/NNS |    programs/NN->NNS    | ./. ''/''
                 Mrs./NNP |      Ward/NN->NNP      | took/VBD over/RP in/IN 19
rs./NNP Ward/NNP took/VBD |      over/IN->RP       | in/IN 1986/CD ,/, *-1/-NO
G the/DT school/NN 's/POS |     seventh/NN->JJ     | principal/NN in/IN 15/CD 
                 Her/PRP$ |    immediate/NN->JJ    | predecessor/NN suffered/V
mediate/JJ predecessor/NN |    suffered/NN->VBD    | a/DT nervous/JJ breakdown
ssor/NN suffered/VBD a/DT |     nervous/NN->JJ     | breakdown/NN ./.
                          |      Prior/NN->RB      | to/TO his/PRP$ term/NN ,/
rm/NN ,/, a/DT teacher/NN |      bled/NN->VBD      | to/TO death/NN in/IN the/
/TO death/NN in/IN the/DT |     halls/NN->NNS      | ,/, *-1/-NONE- stabbed/VB
 halls/NNS ,/, *-1/-NONE- |    stabbed/NN->VBN     | *-2/-NONE- by/IN a/DT stu
                          |  Academically/NN->RB   | ,/, Mrs./NNP Ward/NNP say
demically/RB ,/, Mrs./NNP |      Ward/NN->NNP      | says/VBZ 0/-NONE- *T*-1/-
VBG trouble/NN *-2/-NONE- |    serving/NN->VBG     | in/IN harmony/NN its/PRP$
armony/NN its/PRP$ two/CD |    disparate/NN->JJ    | ,/, and/CC evenly/RB spli
D disparate/JJ ,/, and/CC |     evenly/NN->RB      | split/JJ ,/, student/NN g
e/JJ ,/, and/CC evenly/RB |      split/NN->JJ      | ,/, student/NN groups/NNS
nt/NN groups/NNS :/: a/DT |   privileged/NN->JJ    | white/JJ elite/NN from/IN
NS :/: a/DT privileged/JJ |      white/NN->JJ      | elite/NN from/IN old/JJ m
J elite/NN from/IN old/JJ |     monied/NN->JJ      | neighborhoods/NNS and/CC 
 from/IN old/JJ monied/JJ | neighborhoods/NN->NNS  | and/CC blacks/NNS ,/, man
 neighborhoods/NNS and/CC |     blacks/NN->NNS     | ,/, many/JJ of/IN them/PR
m/PRP poor/JJ ,/, from/IN |    run-down/NN->JJ     | ,/, inner/JJ city/NN neig
, from/IN run-down/JJ ,/, |      inner/NN->JJ      | city/NN neighborhoods/NNS
n/JJ ,/, inner/JJ city/NN | neighborhoods/NN->NNS  | ./.
                 Mrs./NNP |      Ward/NN->NNP      | resolved/VBD *-1/-NONE- t
        Mrs./NNP Ward/NNP |    resolved/NN->VBD    | *-1/-NONE- to/TO clean/VB
lved/VBD *-1/-NONE- to/TO |      clean/NN->VB      | out/RP ``/`` deadwood/NN 
*-1/-NONE- to/TO clean/VB |       out/IN->RP       | ``/`` deadwood/NN ''/'' i
 's/POS faculty/NN and/CC |     restore/NN->VB     | safety/NN ,/, and/CC she/
                          |       One/NN->CD       | was/VBD statewide/JJ scho
           One/CD was/VBD |    statewide/NN->JJ    | school/NN reform/NN ,/, w
N reform/NN ,/, which/WDT |   *T*-88/NN->-NONE-    | raised/VBD overall/JJ edu
, which/WDT *T*-88/-NONE- |    raised/VBN->VBD     | overall/JJ educational/JJ
 *T*-88/-NONE- raised/VBD |     overall/NN->JJ     | educational/JJ funding/NN
NE- raised/VBD overall/JJ |   educational/NN->JJ   | funding/NN and/CC ushered
onal/JJ funding/NN and/CC |    ushered/NN->VBD     | in/RP a/DT new/JJ public/
ing/NN and/CC ushered/VBD |       in/IN->RP        | a/DT new/JJ public/JJ spi
       Another/DT was/VBD |     Nancy/NN->NNP      | Yeargin/NNP ,/, who/WP *T
ther/DT was/VBD Nancy/NNP |    Yeargin/NN->NNP     | ,/, who/WP *T*-89/-NONE- 
NP Yeargin/NNP ,/, who/WP |   *T*-89/NN->-NONE-    | came/VBD to/TO Greenville
-89/-NONE- came/VBD to/TO |   Greenville/NN->NNP   | in/IN 1985/CD ,/, *-1/-NO
N the/DT energy/NN and/CC |   ambitions/NN->NNS    | that/IN reformers/NNS wan
y/NN and/CC ambitions/NNS |      that/WDT->IN      | reformers/NNS wanted/VBD 
/CC ambitions/NNS that/IN |   reformers/NN->NNS    | wanted/VBD *-2/-NONE- to/
           ``/`` */-NONE- |     Being/NN->VBG      | a/DT teacher/NN just/RB b
her/NN just/RB became/VBD |      my/NN->PRP$       | life/NN ,/, ''/'' says/VB
s/VBZ *T*-1/-NONE- the/DT |   37-year-old/NN->JJ   | Mrs./NNP Yeargin/NNP ,/, 
T 37-year-old/JJ Mrs./NNP |    Yeargin/NN->NNP     | ,/, a/DT teacher/NN for/I
                    I/PRP |     loved/NN->VBD      | the/DT school/NN ,/, its/
            I/PRP even/RB |     dreamt/NN->VBD     | about/IN school/NN and/CC
N school/NN and/CC new/JJ |     things/NN->NNS     | 0/-NONE- */-NONE- to/TO d
o/VB *T*-1/-NONE- with/IN |      my/NN->PRP$       | students/NNS ./. ''/''
-1/-NONE- with/IN my/PRP$ |    students/NN->NNS    | ./. ''/''
        While/IN Mrs./NNP |      Ward/NN->NNP      | fired/VBD and/CC restruct
Ward/NNP fired/VBD and/CC |  restructured/NN->VBD  | staff/NN and/CC struggled
tured/VBD staff/NN and/CC |   struggled/NN->VBD    | *-1/-NONE- to/TO improve/
urriculum/NN ,/, Mrs./NNP |    Yeargin/NN->NNP     | worked/VBD 14-hour/JJ day
NP Yeargin/NNP worked/VBD |     14-hour/NN->JJ     | days/NNS and/CC fast/RB b
4-hour/JJ days/NNS and/CC |      fast/NN->RB       | became/VBD a/DT student/N
ecame/VBD a/DT student/NN |    favorite/NN->JJ     | ./.
CC 1987-88/CD ,/, she/PRP |    applied/VBN->VBD    | for/IN *RNR*-1/-NONE- and
/IN *RNR*-1/-NONE- and/CC |      won/NN->VBD       | *RNR*-1/-NONE- bonus/NN p
D *RNR*-1/-NONE- bonus/NN |       pay/VB->NN       | under/IN the/DT reform/NN
               *-1/-NONE- |   Encouraged/NN->JJ    | *-2/-NONE- by/IN Mrs./NNP
*-2/-NONE- by/IN Mrs./NNP |      Ward/NN->NNP      | ,/, Mrs./NNP Yeargin/NNP 
NNP Ward/NNP ,/, Mrs./NNP |    Yeargin/NN->NNP     | taught/VBD honor/NN stude
 ,/, Mrs./NNP Yeargin/NNP |     taught/NN->VBD     | honor/NN students/NNS in/
NP Yeargin/NNP taught/VBD |      honor/VB->NN      | students/NNS in/IN the/DT
n/NNP taught/VBD honor/NN |    students/NN->NNS    | in/IN the/DT state/NN ``/
*/-NONE- *-3/-NONE- to/TO |    encourage/NN->VB    | good/JJ students/NNS to/T
o/TO encourage/VB good/JJ |    students/NN->NNS    | to/TO consider/VB teachin
ood/JJ students/NNS to/TO |    consider/VBP->VB    | teaching/NN as/IN a/DT ca
                  She/PRP |      won/NN->VBD       | grant/NN money/NN for/IN 
          She/PRP won/VBD |      grant/VB->NN      | money/NN for/IN the/DT sc
r/IN the/DT school/NN ,/, |    advised/NN->VBD     | cheerleaders/NNS ,/, ran/
school/NN ,/, advised/VBD |  cheerleaders/NN->NNS  | ,/, ran/VBD the/DT pep/NN
the/DT pep/NN club/NN ,/, |   proposed/VBN->VBD    | and/CC taught/VBD a/DT ne
N ,/, proposed/VBD and/CC |     taught/NN->VBD     | a/DT new/JJ ``/`` Cultura
ght/VBD a/DT new/JJ ``/`` |    Cultural/NN->JJ     | Literacy/NN ''/'' class/N
ization/NN and/CC was/VBD |     chosen/NN->VBN     | *-1/-NONE- by/IN the/DT s
E- by/IN the/DT school/NN |      PTA/NN->NNP       | as/IN ``/`` Teacher/NN of
/`` She/PRP was/VBD an/DT |  inspirational/NN->JJ  | lady/NN ;/: she/PRP had/V
/: she/PRP had/VBD it/PRP |       all/DT->RB       | together/RB ,/, ''/'' say
/'' says/VBZ *T*-1/-NONE- |     Laura/NN->NNP      | Dobson/NNP ,/, a/DT fresh
BZ *T*-1/-NONE- Laura/NNP |     Dobson/NN->NNP     | ,/, a/DT freshman/NN at/I
rsity/NNP of/IN South/NNP |    Carolina/NN->NNP    | who/WP *T*-90/-NONE- had/
h/NNP Carolina/NNP who/WP |   *T*-90/NN->-NONE-    | had/VBD Mrs./NNP Yeargin/
0/-NONE- had/VBD Mrs./NNP |    Yeargin/NN->NNP     | in/IN the/DT teacher-cade
 Yeargin/NNP in/IN the/DT |  teacher-cadet/NN->JJ  | class/NN last/JJ year/NN 
because/IN of/IN Mrs./NNP |    Yeargin/NN->NNP     | she/PRP gave/VBD up/RP am
rgin/NNP she/PRP gave/VBD |       up/RB->RP        | ambitions/NNS in/IN archi
NP she/PRP gave/VBD up/RP |   ambitions/NN->NNS    | in/IN architecture/NN and
itecture/NN and/CC is/VBZ |    studying/NN->VBG    | *-1/-NONE- to/TO become/V
ying/VBG *-1/-NONE- to/TO |     become/VBN->VB     | a/DT teacher/NN ./.
                          |      Mary/NN->NNP      | Beth/NNP Marchand/NNP ,/,
                 Mary/NNP |      Beth/NN->NNP      | Marchand/NNP ,/, a/DT Gre
        Mary/NNP Beth/NNP |    Marchand/NN->NNP    | ,/, a/DT Greenville/NNP 1
NNP Marchand/NNP ,/, a/DT |   Greenville/NN->NNP   | 11th/JJ grader/NN ,/, als
P ,/, a/DT Greenville/NNP |      11th/NN->JJ       | grader/NN ,/, also/RB say
ays/VBZ 0/-NONE- Mrs./NNP |    Yeargin/NN->NNP     | inspired/VBD her/PRP to/T
ONE- Mrs./NNP Yeargin/NNP |    inspired/NN->VBD    | her/PRP to/TO go/VB into/
 Yeargin/NNP inspired/VBD |     her/PRP$->PRP      | to/TO go/VB into/IN educa
            ``/`` She/PRP |     taught/NN->VBD     | us/PRP more/JJR in/IN Wes
She/PRP taught/VBD us/PRP |     more/RBR->JJR      | in/IN Western/JJ Civiliza
lization/NN than/IN I/PRP |      've/NN->VBP       | ever/RB learned/VBN in/IN
/IN I/PRP 've/VBP ever/RB |    learned/VBD->VBN    | in/IN other/JJ classes/NN
earned/VBN in/IN other/JJ |    classes/NN->NNS     | ,/, ''/'' says/VBZ *T*-2/
/'' says/VBZ *T*-2/-NONE- |     Kelli/NN->NNP      | Green/NNP ,/, a/DT Greenv
BZ *T*-2/-NONE- Kelli/NNP |     Green/NN->NNP      | ,/, a/DT Greenville/NNP s
li/NNP Green/NNP ,/, a/DT |   Greenville/NN->NNP   | senior/NN ./.
P ,/, a/DT Greenville/NNP |     senior/JJ->NN      | ./.
N the/DT classroom/NN ,/, |    students/NN->NNS    | say/VBP 0/-NONE- *T*-3/-N
*T*-3/-NONE- ,/, Mrs./NNP |    Yeargin/NN->NNP     | distinguished/VBD herself
 ,/, Mrs./NNP Yeargin/NNP | distinguished/NN->VBD  | herself/PRP by/IN */-NONE
gin/NNP distinguished/VBD |    herself/NN->PRP     | by/IN */-NONE- varying/VB
- varying/VBG teaching/NN |   approaches/NN->NNS   | --/: *-1/-NONE- forcing/J
aches/NNS --/: *-1/-NONE- |     forcing/NN->JJ     | kids/NNS to/TO pair/VB up
-/: *-1/-NONE- forcing/JJ |      kids/NN->NNS      | to/TO pair/VB up/RP *-2/-
forcing/JJ kids/NNS to/TO |      pair/NN->VB       | up/RP *-2/-NONE- to/TO co
G college-bowl/NN type/NN |  competitions/NN->NNS  | ./.
                    On/IN |    weekends/NN->NNS    | ,/, she/PRP came/VBD to/T
 work/VB *-1/-NONE- to/TO |     prepare/NN->VB     | study/NN plans/NNS or/CC 
 even/RB *-1/-NONE- to/TO |     polish/NN->VB      | the/DT furniture/NN in/IN
 never/RB gave/VBD it/PRP |       up/IN->RP        | ,/, ''/'' says/VBZ *T*-1/
/'' says/VBZ *T*-1/-NONE- |      Mary/NN->NNP      | Marchand/NNP ,/, Mary/NNP
VBZ *T*-1/-NONE- Mary/NNP |    Marchand/NN->NNP    | ,/, Mary/NNP Beth/NNP 's/
Mary/NNP Marchand/NNP ,/, |      Mary/NN->NNP      | Beth/NNP 's/POS mother/NN
Marchand/NNP ,/, Mary/NNP |      Beth/NN->NNP      | 's/POS mother/NN ./.
            ``/`` You/PRP |       'd/NN->MD        | see/VB her/PRP correcting
`/`` You/PRP 'd/MD see/VB |     her/PRP$->PRP      | correcting/VBG homework/N
/PRP 'd/MD see/VB her/PRP |   correcting/NN->VBG   | homework/NN in/IN the/DT 
 homework/NN in/IN the/DT |     stands/NN->NNS     | at/IN a/DT football/NN ga
                  Some/DT |     fellow/NN->JJ      | teachers/NNS ,/, however/
        Some/DT fellow/JJ |    teachers/NN->NNS    | ,/, however/RB ,/, viewed
rs/NNS ,/, however/RB ,/, |    viewed/VBN->VBD     | Mrs./NNP Yeargin/NNP as/I
B ,/, viewed/VBD Mrs./NNP |    Yeargin/NN->NNP     | as/IN cocky/JJ and/CC too
rs./NNP Yeargin/NNP as/IN |      cocky/NN->JJ      | and/CC too/RB yielding/JJ
IN cocky/JJ and/CC too/RB |    yielding/VBG->JJ    | to/TO students/NNS ./.
 too/RB yielding/JJ to/TO |    students/NN->NNS    | ./.
                 Mrs./NNP |      Ward/NN->NNP      | says/VBZ 0/-NONE- she/PRP
0/-NONE- she/PRP often/RB |    defended/NN->VBD    | her/PRP to/TO colleagues/
PRP often/RB defended/VBD |     her/PRP$->PRP      | to/TO colleagues/NNS who/
efended/VBD her/PRP to/TO |   colleagues/NN->NNS   | who/WP *T*-91/-NONE- call
/TO colleagues/NNS who/WP |   *T*-91/NN->-NONE-    | called/VBD her/PRP a/DT g
/NNS who/WP *T*-91/-NONE- |    called/VBN->VBD     | her/PRP a/DT grandstander
 *T*-91/-NONE- called/VBD |     her/PRP$->PRP      | a/DT grandstander/NN ./.
                          |   Pressures/NN->NNS    | began/VBD *-1/-NONE- to/T
                          |    Friends/NN->NNS     | told/VBD her/PRP 0/-NONE-
              Friends/NNS |      told/NN->VBD      | her/PRP 0/-NONE- she/PRP 
     Friends/NNS told/VBD |     her/PRP$->PRP      | 0/-NONE- she/PRP was/VBD 
 0/-NONE- she/PRP was/VBD |    pushing/NN->VBG     | too/RB hard/RB ./.
                          |     Because/NN->IN     | of/IN deteriorating/VBG h
         Because/IN of/IN | deteriorating/NN->VBG  | hearing/NN ,/, she/PRP to
BG hearing/NN ,/, she/PRP |      told/NN->VBD      | colleagues/NNS 0/-NONE- s
g/NN ,/, she/PRP told/VBD |   colleagues/NN->NNS   | 0/-NONE- she/PRP feared/V
gues/NNS 0/-NONE- she/PRP |     feared/NN->VBD     | 0/-NONE- she/PRP might/MD
 able/JJ *-1/-NONE- to/TO |      teach/NN->VB      | much/RB longer/RBR ./.
E- to/TO teach/VB much/RB |    longer/JJR->RBR     | ./.
                 Mrs./NNP |    Yeargin/NN->NNP     | 's/POS extra/JJ work/NN w
s./NNP Yeargin/NNP 's/POS |      extra/NN->JJ      | work/NN was/VBD also/RB h
J work/NN was/VBD also/RB |    helping/NN->VBG     | her/PRP earn/VB points/NN
s/VBD also/RB helping/VBG |     her/PRP$->PRP      | earn/VB points/NNS in/IN 
so/RB helping/VBG her/PRP |      earn/NN->VB       | points/NNS in/IN the/DT s
lping/VBG her/PRP earn/VB |     points/NN->NNS     | in/IN the/DT state/NN 's/
ortant/JJ source/NN of/IN |     points/NN->NNS     | was/VBD student/NN improv
                          |      Huge/NN->JJ       | gains/NNS by/IN her/PRP$ 
 gains/NNS by/IN her/PRP$ |    students/NN->NNS    | in/IN 1987/CD and/CC 1988
IN 1987/CD and/CC 1988/CD |     meant/NN->VBD      | a/DT total/NN of/IN $/$ 5
/IN two/CD years/NNS --/: |        a/DT->JJ        | meaningful/JJ addition/NN
wo/CD years/NNS --/: a/JJ |   meaningful/NN->JJ    | addition/NN to/TO her/PRP
                 */-NONE- |    Winning/NN->VBG     | a/DT bonus/NN for/IN a/DT
a/DT bonus/NN for/IN a/DT |      third/NN->JJ      | year/NN was/VBD n't/RB th
JJ year/NN was/VBD n't/RB |      that/IN->RB       | important/JJ to/TO her/PR
hat/RB important/JJ to/TO |     her/PRP$->PRP      | ,/, Mrs./NNP Yeargin/NNP 
o/TO her/PRP ,/, Mrs./NNP |    Yeargin/NN->NNP     | insists/VBZ 0/-NONE- *T*-
                   But/CC |     others/NN->NNS     | at/IN Greenville/NNP High
  But/CC others/NNS at/IN |   Greenville/NN->NNP   | High/NNP say/VB 0/-NONE- 
/NNS at/IN Greenville/NNP |      High/NN->NNP      | say/VB 0/-NONE- she/PRP w
N Greenville/NNP High/NNP |      say/VBP->VB       | 0/-NONE- she/PRP was/VBD 
 0/-NONE- she/PRP was/VBD |      eager/NN->JJ      | *-1/-NONE- to/TO win/VB -
/-NONE- to/TO win/VB --/: |       if/IN->JJ        | not/RB for/IN money/NN ,/
                          |      Mary/NN->NNP      | Elizabeth/NNP Ariail/NNP 
                 Mary/NNP |   Elizabeth/NN->NNP    | Ariail/NNP ,/, another/DT
   Mary/NNP Elizabeth/NNP |     Ariail/NN->NNP     | ,/, another/DT social-stu
says/VBZ 0/-NONE- she/PRP |   believed/VBN->VBD    | 0/-NONE- Mrs./NNP Yeargin
ved/VBD 0/-NONE- Mrs./NNP |    Yeargin/NN->NNP     | wanted/VBD *-1/-NONE- to/
 *-1/-NONE- to/TO keep/VB |     her/PRP$->PRP      | standing/NN high/RB so/IN
ep/VB her/PRP standing/NN |      high/JJ->RB       | so/IN she/PRP could/MD ge
r/PRP standing/NN high/RB |       so/RB->IN        | she/PRP could/MD get/VB a
DT new/JJ job/NN that/WDT |   *T*-92/NN->-NONE-    | would/MD n't/RB demand/VB
92/-NONE- would/MD n't/RB |     demand/NN->VB      | good/JJ hearing/NN ./.
                          |     Indeed/NN->RB      | ,/, Mrs./NNP Yeargin/NNP 
   Indeed/RB ,/, Mrs./NNP |    Yeargin/NN->NNP     | was/VBD interested/JJ in/
./NNP Yeargin/NNP was/VBD |   interested/NN->JJ    | in/IN a/DT possible/JJ jo
P ,/, after/IN *-1/-NONE- |   attending/NN->VBG    | a/DT teaching/NN seminar/
shington/NNP ,/, Mrs./NNP |    Yeargin/NN->NNP     | says/VBZ 0/-NONE- she/PRP
says/VBZ 0/-NONE- she/PRP |    returned/NN->VBD    | to/TO Greenville/NNP two/
he/PRP returned/VBD to/TO |   Greenville/NN->NNP   | two/CD days/NNS before/IN
/RB prepared/VBN her/PRP$ |   low-ability/NN->JJ   | geography/NN students/NNS
w-ability/JJ geography/NN |    students/NN->NNS    | adequately/RB ./.
geography/NN students/NNS |   adequately/NN->RB    | ./.
         When/WRB test/NN |    booklets/NN->NNS    | were/VBD passed/VBN *-1/-
/NN booklets/NNS were/VBD |     passed/NN->VBN     | *-1/-NONE- out/RB 48/CD h
VBD passed/VBN *-1/-NONE- |       out/RP->RB       | 48/CD hours/NNS ahead/RB 
says/VBZ 0/-NONE- she/PRP |     copied/NN->VBD     | questions/NNS in/IN the/D
-NONE- she/PRP copied/VBD |   questions/NN->NNS    | in/IN the/DT social/JJ st
NS in/IN the/DT social/JJ |    studies/NN->NNS     | section/NN and/CC gave/VB
NN and/CC gave/VBD the/DT |    answers/NN->NNS     | to/TO students/NNS ./.
 the/DT answers/NNS to/TO |    students/NN->NNS    | ./.
                 Mrs./NNP |    Yeargin/NN->NNP     | admits/VBZ 0/-NONE- she/P
     Mrs./NNP Yeargin/NNP |     admits/NN->VBZ     | 0/-NONE- she/PRP made/VBD
BD a/DT big/JJ mistake/NN |       but/RB->CC       | insists/VBZ 0/-NONE- her/
sts/VBZ 0/-NONE- her/PRP$ |    motives/NN->NNS     | were/VBD correct/JJ ./.
PRP$ motives/NNS were/VBD |     correct/NN->JJ     | ./.
 *-1/-NONE- to/TO help/VB |      kids/NN->NNS      | in/IN an/DT unfair/JJ tes
p/VB kids/NNS in/IN an/DT |     unfair/NN->JJ      | testing/NN situation/NN ,
ive/CD of/IN the/DT 40/CD |   questions/NN->NNS    | were/VBD geography/NN que
NNS were/VBD geography/NN |   questions/NN->NNS    | ./.
gy/NN ,/, finance/NN --/: |    subjects/NN->NNS    | 0/-NONE- they/PRP never/R
                 Mrs./NNP |    Yeargin/NN->NNP     | says/VBZ that/IN she/PRP 
elp/VB *-2/-NONE- lift/VB |   Greenville/NN->NNP   | High/NNP School/NNP 's/PO
E- lift/VB Greenville/NNP |      High/NN->NNP      | School/NNP 's/POS overall
B Greenville/NNP High/NNP |     School/NN->NNP     | 's/POS overall/JJ test/NN
igh/NNP School/NNP 's/POS |     overall/NN->JJ     | test/NN scores/NNS ,/, us
's/POS overall/JJ test/NN |     scores/NN->NNS     | ,/, usually/RB near/IN th
high/JJ schools/NNS in/IN |    rankings/NN->NNS    | carried/VBN */-NONE- annu
nnually/RB by/IN local/JJ |   newspapers/NN->NNS   | ./.
                          |     Mostly/NN->RB      | ,/, she/PRP says/VBZ 0/-N
nted/VBD *-2/-NONE- to/TO |     prevent/NN->VB     | the/DT damage/NN to/TO se
e/NN to/TO self-esteem/NN |      that/WDT->IN      | her/PRP$ low-ability/JJ s
steem/NN that/IN her/PRP$ |   low-ability/NN->JJ   | students/NNS would/MD suf
N her/PRP$ low-ability/JJ |    students/NN->NNS    | would/MD suffer/VB *T*-3/
rom/IN */-NONE- doing/VBG |      badly/NN->RB      | on/IN the/DT test/NN ./.
           ``/`` These/DT |      kids/NN->NNS      | broke/VBD my/PRP$ heart/N
  ``/`` These/DT kids/NNS |     broke/NN->VBD      | my/PRP$ heart/NN ,/, ''/'
ese/DT kids/NNS broke/VBD |      my/NN->PRP$       | heart/NN ,/, ''/'' she/PR
               ``/`` A/DT |      whole/NN->JJ      | day/NN goes/VBZ by/RB and
 whole/JJ day/NN goes/VBZ |       by/IN->RB        | and/CC no/DT one/NN even/
es/VBZ by/RB and/CC no/DT |       one/CD->NN       | even/RB knows/VBZ 0/-NONE
0/-NONE- they/PRP 're/VBP |      alive/NN->JJ      | ./.
                 They/PRP |   desperately/NN->RB   | needed/VBD somebody/NN wh
ed/VBD somebody/NN who/WP |   *T*-93/NN->-NONE-    | showed/VBD 0/-NONE- they/
wed/VBD 0/-NONE- they/PRP |     cared/NN->VBD      | for/IN them/PRP ,/, who/W
or/IN them/PRP ,/, who/WP |   *T*-94/NN->-NONE-    | loved/VBD them/PRP ./.
 ,/, who/WP *T*-94/-NONE- |     loved/NN->VBD      | them/PRP ./.
-NONE- was/VBD another/DT |    drag-down/NN->JJ    | blow/NN ./. ''/''
                          |     School/NN->NNP     | officials/NNS and/CC pros
NS and/CC prosecutors/NNS |      say/VBP->VB       | 0/-NONE- Mrs./NNP Yeargin
 say/VB 0/-NONE- Mrs./NNP |    Yeargin/NN->NNP     | is/VBZ lying/VBG ./.
s./NNP Yeargin/NNP is/VBZ |     lying/NN->VBG      | ./.
       They/PRP found/VBD |    students/NN->NNS    | in/IN an/DT advanced/JJ c
 students/NNS in/IN an/DT |    advanced/NN->JJ     | class/NN a/DT year/NN ear
/JJ class/NN a/DT year/NN |    earlier/JJR->RB     | who/WP *T*-95/-NONE- said
year/NN earlier/RB who/WP |   *T*-95/NN->-NONE-    | said/VBD 0/-NONE- she/PRP
e/VBD them/PRP similar/JJ |      help/VB->NN       | ,/, although/IN because/I
DT case/NN was/VBD n't/RB |     tried/NN->VBN      | in/IN court/NN ,/, this/D
            ``/`` That/DT |     pretty/NN->RB      | much/RB defeats/VBZ any/D
That/DT pretty/RB much/RB |    defeats/NN->VBZ     | any/DT inkling/NN that/IN
ats/VBZ any/DT inkling/NN |      that/WDT->IN      | she/PRP was/VBD out/RP *-
TO help/VB the/DT poor/JJ | underprivileged/NN->JJ | child/NN ,/, ''/'' says/V
ild/NN ,/, ''/'' says/VBZ |      Joe/NN->NNP       | Watson/NNP ,/, the/DT pro
/, ''/'' says/VBZ Joe/NNP |     Watson/NN->NNP     | ,/, the/DT prosecutor/NN 
the/DT case/NN ,/, who/WP |   *T*-96/NN->-NONE-    | is/VBZ also/RB president/
lso/RB president/NN of/IN |   Greenville/NN->NNP   | High/NNP School/NNP 's/PO
t/NN of/IN Greenville/NNP |      High/NN->NNP      | School/NNP 's/POS alumni/
N Greenville/NNP High/NNP |     School/NN->NNP     | 's/POS alumni/NNS associa
igh/NNP School/NNP 's/POS |     alumni/NN->NNS     | association/NN ./.
                 Mrs./NNP |    Yeargin/NN->NNP     | concedes/VBZ that/IN she/
     Mrs./NNP Yeargin/NNP |    concedes/NN->VBZ    | that/IN she/PRP went/VBD 
 Yeargin/NNP concedes/VBZ |      that/WDT->IN      | she/PRP went/VBD over/RB 
 that/IN she/PRP went/VBD |      over/IN->RB       | the/DT questions/NNS in/I
P went/VBD over/RB the/DT |   questions/NN->NNS    | in/IN the/DT earlier/JJR 
R class/NN ,/, *-1/-NONE- |     adding/NN->VBG     | :/: ``/`` I/PRP wanted/VB
o/TO help/VB all/DT ''/'' |    students/NN->NNS    | ./.
                  Mr./NNP |     Watson/NN->NNP     | says/VBZ 0/-NONE- Mrs./NN
ays/VBZ 0/-NONE- Mrs./NNP |    Yeargin/NN->NNP     | never/RB complained/VBD t
/NNP Yeargin/NNP never/RB |  complained/VBN->VBD   | to/TO school/NN officials
icials/NNS that/IN the/DT |  standardized/NN->JJ   | test/NN was/VBD unfair/JJ
rdized/JJ test/NN was/VBD |     unfair/NN->JJ      | ./.
                    ``/`` |       Do/NN->VBP       | I/PRP have/VB much/JJ sym
       ``/`` Do/VBP I/PRP |      have/VBP->VB      | much/JJ sympathy/NN for/I
`/`` Do/VBP I/PRP have/VB |      much/RB->JJ       | sympathy/NN for/IN her/PR
uch/JJ sympathy/NN for/IN |     her/PRP$->PRP      | ?/. ''/'' Mr./NNP Watson/
her/PRP ?/. ''/'' Mr./NNP |     Watson/NN->NNP     | asks/VBZ *T*-1/-NONE- ./.
 ''/'' Mr./NNP Watson/NNP |      asks/NN->VBZ      | *T*-1/-NONE- ./.
  What/WP she/PRP did/VBD |   *T*-97/NN->-NONE-    | was/VBD like/IN */-NONE- 
 was/VBD like/IN */-NONE- |     taking/NN->VBG     | the/DT law/NN into/IN you
 into/IN your/PRP$ own/JJ |     hands/NN->NNS      | ./. ''/''
                 Mrs./NNP |      Ward/NN->NNP      | says/VBZ that/IN when/WRB
he/DT cheating/NN was/VBD |   discovered/NN->VBN   | *-4/-NONE- *T*-1/-NONE- ,
nted/VBD *-2/-NONE- to/TO |      avoid/NN->VB      | the/DT morale-damaging/JJ
